state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,avg_days_with_aqi,avg_good_days,avg_moderate_days,avg_unhealthy_for_sensitive_groups_days,avg_unhealthy_days,avg_very_unhealthy_days,avg_hazardous_days,avg_days_co,avg_days_no2,avg_days_ozone,avg_days_pm2_5,avg_days_pm10,year
Hawaii,102.33333333333333,39.333333333333336,21.666666666666668,257,237.66666666666666,18.666666666666668,0,0.6666666666666666,0,0,4,2.6666666666666665,51.666666666666664,85,113.66666666666667,1
Idaho,124.42105263157895,51.78947368421053,27.894736842105264,199.42105263157896,161.26315789473685,31.05263157894737,3.8421052631578947,2.8947368421052633,0.3157894736842105,0.05263157894736842,31.105263157894736,15.894736842105264,18.263157894736842,49,85.15789473684211,1
Illinois,161.52173913043478,79,37.95652173913044,331.30434782608694,243.34782608695653,69.43478260869566,14.73913043478261,3.652173913043478,0.13043478260869565,0,7.3478260869565215,17.130434782608695,256.0869565217391,27,23.73913043478261,1
Indiana,159.1,103.36666666666666,47.86666666666667,217.36666666666667,115.3,71.03333333333333,23.733333333333334,7.233333333333333,0.06666666666666667,0,7.233333333333333,26.733333333333334,131.16666666666666,40.233333333333334,12,1
Iowa,120.375,71.3125,42.75,215.1875,141.875,68,4.75,0.5625,0,0,12.625,0,98.1875,57.0625,47.3125,1
Kansas,110,71.8,38.3,203.1,129.2,67.6,5.7,0.6,0,0,5.5,14.9,81.2,42.9,58.6,1
Kentucky,163.55263157894737,106.1842105263158,49.86842105263158,246.39473684210526,123.97368421052632,83.92105263157895,30.473684210526315,7.657894736842105,0.3684210526315789,0,4.2894736842105265,28.81578947368421,163.6315789473684,36.23684210526316,13.421052631578947,1
Louisiana,166.91666666666666,94.5,45.833333333333336,318.375,191.04166666666666,100.16666666666667,22.875,4.083333333333333,0.20833333333333334,0,0.16666666666666666,14.791666666666666,246.91666666666666,56,0.5,1
Maine,150.57142857142858,57.5,32.42857142857143,220.57142857142858,190.71428571428572,22.214285714285715,5.928571428571429,1.3571428571428572,0.35714285714285715,0,0,8.142857142857142,177.14285714285714,7.642857142857143,27.642857142857142,1
Maryland,196.6,124.73333333333333,45.6,256.06666666666666,148.93333333333334,63.4,26.666666666666668,14.266666666666667,2.8,0,2.2666666666666666,24.266666666666666,206.73333333333332,15.933333333333334,6.866666666666666,1
Massachusetts,180.63636363636363,84.36363636363636,46.18181818181818,284.3636363636364,173.45454545454547,91.9090909090909,13,5.363636363636363,0.6363636363636364,0,14.181818181818182,34.36363636363637,142.54545454545453,93.0909090909091,0.18181818181818182,1
Michigan,166.3448275862069,97.55172413793103,41.758620689655174,211.13793103448276,127,61.13793103448276,15.517241379310345,7.103448275862069,0.3793103448275862,0,7.344827586206897,2.1379310344827585,143.17241379310346,53.55172413793103,4.931034482758621,1
Minnesota,78.95,47.7,26.8,178.6,156,20.65,1.9,0.05,0,0,32.65,23.6,89.4,15.85,17.1,1
Mississippi,142.1,90.7,51.15,193.05,86.75,84.3,19.55,2.4,0.05,0,1.7,11.25,116.7,57.75,5.65,1
Missouri,168.66666666666666,92.4,50.4,269.53333333333336,126.33333333333333,120,17.933333333333334,4.8,0.4666666666666667,0,2.7333333333333334,40.666666666666664,118.86666666666666,96.13333333333334,11.133333333333333,1
Montana,90.8,41.86666666666667,19.066666666666666,273.06666666666666,246.86666666666667,25.466666666666665,0.6,0.13333333333333333,0,0,75.13333333333334,3.933333333333333,10.8,41,142.2,1
Nebraska,95.16666666666667,60.75,38.5,113.16666666666667,79.08333333333333,33,0.8333333333333334,0.25,0,0,17.5,0,25.916666666666668,59.666666666666664,10.083333333333334,1
Nevada,143.57142857142858,71.42857142857143,43,326.85714285714283,204.85714285714286,107.85714285714286,12.857142857142858,1,0.14285714285714285,0.14285714285714285,19.142857142857142,4.857142857142857,203.57142857142858,22,77.28571428571429,1
New Hampshire,154.7,68.3,38.6,259.7,200.6,48.6,8.6,1.8,0.1,0,3.6,21.5,186.4,43.9,4.3,1
New Jersey,183.88235294117646,97.58823529411765,41.88235294117647,329.4117647058824,211.7058823529412,87.41176470588235,16.647058823529413,11.235294117647058,2.411764705882353,0,47.588235294117645,61.35294117647059,173,46.8235294117647,0.6470588235294118,1
New Mexico,98.5,51.625,30.9375,215.6875,151.9375,59.0625,4.3125,0.375,0,0,9.8125,11.1875,104.75,57.9375,32,1
New York,172.19354838709677,81.54838709677419,38.903225806451616,321.64516129032256,238.3548387096774,63.806451612903224,13.903225806451612,4.935483870967742,0.6451612903225806,0,18.225806451612904,40.41935483870968,236.06451612903226,25.322580645161292,1.6129032258064515,1
North Carolina,160.32,104.3,53.54,221.76,101.28,91.3,21.82,6.84,0.52,0,8.34,0.42,144.1,64.16,4.74,1
North Dakota,74,41.36363636363637,27.545454545454547,254.54545454545453,235.45454545454547,19,0.09090909090909091,0,0,0,0,31.727272727272727,178.27272727272728,31.363636363636363,13.181818181818182,1
Ohio,168.0204081632653,100.91836734693878,46.244897959183675,235.26530612244898,113.71428571428571,90.55102040816327,23.551020408163264,6.959183673469388,0.4897959183673469,0,4.346938775510204,1.2244897959183674,139.28571428571428,62.42857142857143,27.979591836734695,1
Oklahoma,126.71428571428571,78.04761904761905,42.142857142857146,212.8095238095238,154.8095238095238,44.333333333333336,11.476190476190476,2.1904761904761907,0,0,0.6190476190476191,60.04761904761905,118.0952380952381,27.904761904761905,6.142857142857143,1
Oregon,119.9375,65.1875,37,226.6875,158.5,64,3.3125,0.875,0,0,28.25,0.6875,36,139.1875,22.5625,1
Pennsylvania,191.02941176470588,102.8529411764706,45.44117647058823,328.70588235294116,197.55882352941177,95.76470588235294,23.764705882352942,10.323529411764707,1.2941176470588236,0,12.823529411764707,82.67647058823529,179.88235294117646,52.5,0.8235294117647058,1
Puerto Rico,70,51.733333333333334,31.2,134.26666666666668,92.46666666666667,41.6,0.2,0,0,0,10.6,7.666666666666667,11.933333333333334,65.2,38.86666666666667,1
Rhode Island,199.66666666666666,89.66666666666667,44,257,156,83.33333333333333,11.333333333333334,5.333333333333333,1,0,1,44.333333333333336,100,106.33333333333333,5.333333333333333,1
South Carolina,160.56,97.6,48.6,275.88,148.72,99.08,23.56,4.36,0.16,0,0.36,12.36,179.4,60.2,23.56,1
South Dakota,98,57,32.75,196.25,142,53.5,0.75,0,0,0,0,0,52,92.75,51.5,1
