State,Year,Total Deaths,Total Population
Alabama,2021,307,5049846
Alaska,1999,19,624779
Alaska,2001,22,633714
Alaska,2002,20,642337
Alaska,2003,19,648414
Alaska,2004,24,659286
Alaska,2005,21,666946
Alaska,2006,19,675302
Alaska,2007,20,680300
Alaska,2008,26,687455
Alaska,2009,25,698895
Alaska,2010,24,714026
Alaska,2011,39,722610
Alaska,2012,27,731293
Alaska,2013,30,738288
Alaska,2014,22,737859
Alaska,2015,23,739305
Alaska,2016,39,743530
Alaska,2017,33,742015
Alaska,2018,35,737791
Alaska,2019,27,734885
Alaska,2020,31,732923
Alaska,2021,40,734182
Arizona,1999,226,5023823
Arizona,2000,220,5160586
Arizona,2001,218,5273477
Arizona,2002,215,5396255
Arizona,2003,222,5510364
Arizona,2004,227,5652404
Arizona,2005,279,5839077
Arizona,2006,252,6029141
Arizona,2007,254,6167681
Arizona,2008,273,6280362
Arizona,2009,278,6343154
Arizona,2010,275,6402172
Arizona,2011,278,6447287
Arizona,2012,340,6508584
Arizona,2013,329,6564810
Arizona,2014,360,6639874
Arizona,2015,332,6716074
Arizona,2016,343,6803119
Arizona,2017,344,6880741
Arizona,2018,366,6970505
Arizona,2019,380,7070808
Arizona,2020,392,7179943
Arizona,2021,396,7264877
Arkansas,1999,172,2651860
Arkansas,2000,161,2678588
Arkansas,2001,140,2691571
Arkansas,2002,154,2705927
Arkansas,2003,148,2724816
Arkansas,2004,147,2749686
Arkansas,2005,146,2781097
Arkansas,2006,134,2821761
Arkansas,2007,173,2848650
Arkansas,2008,158,2874554
Arkansas,2009,164,2896843
Arkansas,2010,157,2921608
Arkansas,2011,157,2938936
Arkansas,2012,175,2949008
Arkansas,2013,168,2954791
Arkansas,2014,168,2961247
Arkansas,2015,197,2970399
Arkansas,2016,181,2980570
Arkansas,2017,159,2990582
Arkansas,2018,162,2997060
Arkansas,2019,180,3004141
Arkansas,2020,201,3014195
Arkansas,2021,184,3028122
California,1999,1442,33499204
California,2000,1380,33987977
California,2001,1361,34479458
California,2002,1409,34871843
California,2003,1413,35253159
California,2004,1388,35574576
California,2005,1476,35827943
California,2006,1421,36021202
California,2007,1481,36250311
California,2008,1513,36604337
California,2009,1566,36961229
California,2010,1528,37322860
California,2011,1622,37653337
California,2012,1714,37974434
California,2013,1709,38296038
California,2014,1749,38640488
California,2015,1826,38969769
California,2016,1887,39225383
California,2017,1801,39423395
California,2018,1958,39534267
California,2019,1909,39546660
California,2020,2094,39501653
California,2021,2042,39142991
Colorado,1999,163,4226018
Colorado,2000,167,4326921
Colorado,2001,172,4425687
Colorado,2002,174,4490406
Colorado,2003,206,4528732
Colorado,2004,176,4575013
Colorado,2005,186,4631888
Colorado,2006,199,4720423
Colorado,2007,208,4803868
Colorado,2008,207,4889730
Colorado,2009,216,4972195
Colorado,2010,226,5047145
Colorado,2011,214,5119705
Colorado,2012,243,5189492
Colorado,2013,256,5264410
Colorado,2014,243,5343818
Colorado,2015,238,5442972
Colorado,2016,275,5529732
Colorado,2017,267,5600301
Colorado,2018,258,5677250
Colorado,2019,296,5735919
Colorado,2020,273,5784865
Colorado,2021,288,5811297
Connecticut,1999,157,3386401
Connecticut,2000,165,3411777
Connecticut,2001,151,3432835
Connecticut,2002,146,3458749
Connecticut,2003,153,3484336
Connecticut,2004,155,3496094
Connecticut,2005,166,3506956
Connecticut,2006,154,3517460
Connecticut,2007,154,3527270
Connecticut,2008,153,3545579
Connecticut,2009,182,3561807
Connecticut,2010,199,3580397
Connecticut,2011,171,3594525
Connecticut,2012,168,3605729
Connecticut,2013,155,3610808
Connecticut,2014,189,3615128
Connecticut,2015,212,3612364
Connecticut,2016,203,3607920
Connecticut,2017,186,3607571
Connecticut,2018,196,3611228
Connecticut,2019,200,3607128
Connecticut,2020,240,3597362
Connecticut,2021,220,3623355
Delaware,1999,36,774990
Delaware,2000,39,786373
Delaware,2001,46,795699
Delaware,2002,40,806169
Delaware,2003,34,818003
Delaware,2004,33,830803
Delaware,2005,39,845150
Delaware,2006,46,859268
Delaware,2007,35,871749
Delaware,2008,50,883874
Delaware,2009,42,891730
Delaware,2010,30,899782
Delaware,2011,45,908309
Delaware,2012,47,916823
Delaware,2013,53,925913
Delaware,2014,43,935476
Delaware,2015,38,944928
Delaware,2016,67,953302
Delaware,2017,51,961655
Delaware,2018,47,971164
Delaware,2019,45,981319
Delaware,2020,52,992114
Delaware,2021,59,1004807
District of Columbia,2000,18,572046
District of Columbia,2001,22,574504
District of Columbia,2002,17,573158
District of Columbia,2003,16,568502
District of Columbia,2004,18,567754
District of Columbia,2005,17,567136
District of Columbia,2006,21,570681
District of Columbia,2008,24,580236
District of Columbia,2009,26,592228
District of Columbia,2010,19,604863
District of Columbia,2011,16,617919
District of Columbia,2012,18,631263
District of Columbia,2013,18,644892
District of Columbia,2014,18,654680
District of Columbia,2017,18,680978
District of Columbia,2018,30,685637
District of Columbia,2019,31,687406
District of Columbia,2021,16,668791
Florida,1999,773,15759421
Florida,2000,907,16047515
Florida,2001,902,16356966
Florida,2002,858,16689370
Florida,2003,818,17004085
Florida,2004,840,17415318
Florida,2005,889,17842038
Florida,2006,860,18166990
Florida,2007,851,18367842
Florida,2008,867,18527305
Florida,2009,918,18652644
Florida,2010,974,18843093
Florida,2011,1011,19040534
Florida,2012,1080,19274146
Florida,2013,1022,19510365
Florida,2014,1114,19798068
Florida,2015,1181,20148144
Florida,2016,1094,20539843
Florida,2017,1224,20872368
